"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal nuttige toepassing";"10-12 Voedings-, genotmiddelenindustrie";"2015";"    8117"
"Totaal naar verwerking";"Totaal nuttige toepassing";"10-12 Voedings-, genotmiddelenindustrie";"2016";"    8326"
"Totaal naar verwerking";"Totaal nuttige toepassing";"10-12 Voedings-, genotmiddelenindustrie";"2017";"    8547"
"Totaal naar verwerking";"Totaal nuttige toepassing";"10-12 Voedings-, genotmiddelenindustrie";"2018";"    8602"
"Totaal naar verwerking";"Totaal nuttige toepassing";"10-12 Voedings-, genotmiddelenindustrie";"2019";"    8148"
"Totaal naar verwerking";"Totaal nuttige toepassing";"10-12 Voedings-, genotmiddelenindustrie";"2020";"    8136"
"Totaal naar verwerking";"Totaal nuttige toepassing";"10-12 Voedings-, genotmiddelenindustrie";"2021*";"    8225"
"Totaal naar verwerking";"Totaal nuttige toepassing";"13-15 Textiel-, kleding-, lederindustrie";"2007";"      32"
"Totaal naar verwerking";"Totaal nuttige toepassing";"13-15 Textiel-, kleding-, lederindustrie";"2008";"      54"
"Totaal naar verwerking";"Totaal nuttige toepassing";"13-15 Textiel-, kleding-, lederindustrie";"2009";"      47"
"Totaal naar verwerking";"Totaal nuttige toepassing";"13-15 Textiel-, kleding-, lederindustrie";"2010";"      33"
"Totaal naar verwerking";"Totaal nuttige toepassing";"13-15 Textiel-, kleding-, lederindustrie";"2015";"      28"
"Totaal naar verwerking";"Totaal nuttige toepassing";"13-15 Textiel-, kleding-, lederindustrie";"2016";"      34"
"Totaal naar verwerking";"Totaal nuttige toepassing";"13-15 Textiel-, kleding-, lederindustrie";"2017";"      36"
"Totaal naar verwerking";"Totaal nuttige toepassing";"13-15 Textiel-, kleding-, lederindustrie";"2018";"      38"
"Totaal naar verwerking";"Totaal nuttige toepassing";"13-15 Textiel-, kleding-, lederindustrie";"2019";"      37"
"Totaal naar verwerking";"Totaal nuttige toepassing";"13-15 Textiel-, kleding-, lederindustrie";"2020";"      46"
"Totaal naar verwerking";"Totaal nuttige toepassing";"13-15 Textiel-, kleding-, lederindustrie";"2021*";"      42"
"Totaal naar verwerking";"Totaal nuttige toepassing";"16+23 Hout- en bouwmaterialenindustrie";"2007";"     968"
"Totaal naar verwerking";"Totaal nuttige toepassing";"16+23 Hout- en bouwmaterialenindustrie";"2008";"    1028"
"Totaal naar verwerking";"Totaal nuttige toepassing";"16+23 Hout- en bouwmaterialenindustrie";"2009";"     857"
"Totaal naar verwerking";"Totaal nuttige toepassing";"16+23 Hout- en bouwmaterialenindustrie";"2010";"     821"
"Totaal naar verwerking";"Totaal nuttige toepassing";"16+23 Hout- en bouwmaterialenindustrie";"2015";"     795"
"Totaal naar verwerking";"Totaal nuttige toepassing";"16+23 Hout- en bouwmaterialenindustrie";"2016";"     619"
"Totaal naar verwerking";"Totaal nuttige toepassing";"16+23 Hout- en bouwmaterialenindustrie";"2017";"     660"
"Totaal naar verwerking";"Totaal nuttige toepassing";"16+23 Hout- en bouwmaterialenindustrie";"2018";"     591"
"Totaal naar verwerking";"Totaal nuttige toepassing";"16+23 Hout- en bouwmaterialenindustrie";"2019";"     613"
"Totaal naar verwerking";"Totaal nuttige toepassing";"16+23 Hout- en bouwmaterialenindustrie";"2020";"     544"
"Totaal naar verwerking";"Totaal nuttige toepassing";"16+23 Hout- en bouwmaterialenindustrie";"2021*";"     552"
"Totaal naar verwerking";"Totaal nuttige toepassing";"17-18 Papier- en grafische industrie";"2007";"    1081"
