"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2017";"    2176"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2018";"    2145"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2019";"    2047"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2020";"    1925"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2021*";"    1996"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"1994";"     101"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"1996";"     100"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"1998";"      96"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2000";"     118"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2001";"     115"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2002";"     154"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2003";"     143"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2004";"     110"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2005";"     107"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2006";"     121"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2007";"     132"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2008";"      79"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2009";"      64"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2010";"      71"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2011";"      75"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2012";"      72"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2013";"      83"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2014";"      75"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2015";"      78"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2016";"      70"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2017";"      78"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2018";"      56"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2019";"      48"
